day,demand_chips(Regular),description_chips(Regular),lead_time_chips(Regular),profit_chips(Regular),holding_cost_chips(Regular),demand_chips(BBQ),description_chips(BBQ),lead_time_chips(BBQ),profit_chips(BBQ),holding_cost_chips(BBQ),news
1,198,"Potato Chips (Regular), 10oz bag",1,2,1,135,"Potato Chips (BBQ), 20oz bag",1,3,2,
2,205,"Potato Chips (Regular), 10oz bag",1,2,1,130,"Potato Chips (BBQ), 20oz bag",1,3,2,Hit Reality Show to Air Finale The Day After Tomorrow: Watch Parties Surge Nationwide
3,315,"Potato Chips (Regular), 10oz bag",1,2,1,217,"Potato Chips (BBQ), 20oz bag",1,3,2,
4,299,"Potato Chips (Regular), 10oz bag",1,2,1,216,"Potato Chips (BBQ), 20oz bag",1,3,2,
5,198,"Potato Chips (Regular), 10oz bag",1,2,1,180,"Potato Chips (BBQ), 20oz bag",1,3,2,
6,199,"Potato Chips (Regular), 10oz bag",1,2,1,131,"Potato Chips (BBQ), 20oz bag",1,3,2,
7,197,"Potato Chips (Regular), 10oz bag",1,2,1,158,"Potato Chips (BBQ), 20oz bag",1,3,2,
8,195,"Potato Chips (Regular), 10oz bag",1,2,1,179,"Potato Chips (BBQ), 20oz bag",1,3,2,
9,200,"Potato Chips (Regular), 10oz bag",1,2,1,134,"Potato Chips (BBQ), 20oz bag",1,3,2,
10,194,"Potato Chips (Regular), 10oz bag",1,2,1,186,"Potato Chips (BBQ), 20oz bag",1,3,2,
11,197,"Potato Chips (Regular), 10oz bag",1,2,1,167,"Potato Chips (BBQ), 20oz bag",1,3,2,
12,199,"Potato Chips (Regular), 10oz bag",1,2,1,145,"Potato Chips (BBQ), 20oz bag",1,3,2,
13,205,"Potato Chips (Regular), 10oz bag",1,2,1,185,"Potato Chips (BBQ), 20oz bag",1,3,2,
14,203,"Potato Chips (Regular), 10oz bag",1,2,1,145,"Potato Chips (BBQ), 20oz bag",1,3,2,
15,192,"Potato Chips (Regular), 10oz bag",1,2,1,170,"Potato Chips (BBQ), 20oz bag",1,3,2,
16,198,"Potato Chips (Regular), 10oz bag",1,2,1,116,"Potato Chips (BBQ), 20oz bag",1,3,2,
17,201,"Potato Chips (Regular), 10oz bag",1,2,1,149,"Potato Chips (BBQ), 20oz bag",1,3,2,
18,196,"Potato Chips (Regular), 10oz bag",1,2,1,130,"Potato Chips (BBQ), 20oz bag",1,3,2,Hit Reality Show to Air Finale The Day After Tomorrow: Watch Parties Surge Nationwide
19,296,"Potato Chips (Regular), 10oz bag",1,2,1,193,"Potato Chips (BBQ), 20oz bag",1,3,2,
20,308,"Potato Chips (Regular), 10oz bag",1,2,1,240,"Potato Chips (BBQ), 20oz bag",1,3,2,
21,196,"Potato Chips (Regular), 10oz bag",1,2,1,156,"Potato Chips (BBQ), 20oz bag",1,3,2,
22,200,"Potato Chips (Regular), 10oz bag",1,2,1,156,"Potato Chips (BBQ), 20oz bag",1,3,2,
23,200,"Potato Chips (Regular), 10oz bag",1,2,1,173,"Potato Chips (BBQ), 20oz bag",1,3,2,
24,195,"Potato Chips (Regular), 10oz bag",1,2,1,154,"Potato Chips (BBQ), 20oz bag",1,3,2,
25,196,"Potato Chips (Regular), 10oz bag",1,2,1,186,"Potato Chips (BBQ), 20oz bag",1,3,2,
26,192,"Potato Chips (Regular), 10oz bag",1,2,1,126,"Potato Chips (BBQ), 20oz bag",1,3,2,
27,206,"Potato Chips (Regular), 10oz bag",1,2,1,146,"Potato Chips (BBQ), 20oz bag",1,3,2,
28,203,"Potato Chips (Regular), 10oz bag",1,2,1,133,"Potato Chips (BBQ), 20oz bag",1,3,2,
29,209,"Potato Chips (Regular), 10oz bag",1,2,1,148,"Potato Chips (BBQ), 20oz bag",1,3,2,
30,200,"Potato Chips (Regular), 10oz bag",1,2,1,146,"Potato Chips (BBQ), 20oz bag",1,3,2,
31,191,"Potato Chips (Regular), 10oz bag",1,2,1,123,"Potato Chips (BBQ), 20oz bag",1,3,2,
32,199,"Potato Chips (Regular), 10oz bag",1,2,1,133,"Potato Chips (BBQ), 20oz bag",1,3,2,
33,207,"Potato Chips (Regular), 10oz bag",1,2,1,167,"Potato Chips (BBQ), 20oz bag",1,3,2,
34,203,"Potato Chips (Regular), 10oz bag",1,2,1,190,"Potato Chips (BBQ), 20oz bag",1,3,2,
35,205,"Potato Chips (Regular), 10oz bag",1,2,1,159,"Potato Chips (BBQ), 20oz bag",1,3,2,
36,208,"Potato Chips (Regular), 10oz bag",1,2,1,110,"Potato Chips (BBQ), 20oz bag",1,3,2,
37,202,"Potato Chips (Regular), 10oz bag",1,2,1,146,"Potato Chips (BBQ), 20oz bag",1,3,2,
38,201,"Potato Chips (Regular), 10oz bag",1,2,1,151,"Potato Chips (BBQ), 20oz bag",1,3,2,
39,198,"Potato Chips (Regular), 10oz bag",1,2,1,173,"Potato Chips (BBQ), 20oz bag",1,3,2,Super Bowl in One Week: Expected to Break Viewership Records
40,394,"Potato Chips (Regular), 10oz bag",1,2,1,324,"Potato Chips (BBQ), 20oz bag",1,3,2,
41,393,"Potato Chips (Regular), 10oz bag",1,2,1,275,"Potato Chips (BBQ), 20oz bag",1,3,2,
42,396,"Potato Chips (Regular), 10oz bag",1,2,1,302,"Potato Chips (BBQ), 20oz bag",1,3,2,
43,400,"Potato Chips (Regular), 10oz bag",1,2,1,294,"Potato Chips (BBQ), 20oz bag",1,3,2,
44,399,"Potato Chips (Regular), 10oz bag",1,2,1,274,"Potato Chips (BBQ), 20oz bag",1,3,2,
45,410,"Potato Chips (Regular), 10oz bag",1,2,1,310,"Potato Chips (BBQ), 20oz bag",1,3,2,
46,200,"Potato Chips (Regular), 10oz bag",1,2,1,144,"Potato Chips (BBQ), 20oz bag",1,3,2,
47,197,"Potato Chips (Regular), 10oz bag",1,2,1,161,"Potato Chips (BBQ), 20oz bag",1,3,2,
48,195,"Potato Chips (Regular), 10oz bag",1,2,1,126,"Potato Chips (BBQ), 20oz bag",1,3,2,
49,194,"Potato Chips (Regular), 10oz bag",1,2,1,181,"Potato Chips (BBQ), 20oz bag",1,3,2,
50,204,"Potato Chips (Regular), 10oz bag",1,2,1,151,"Potato Chips (BBQ), 20oz bag",1,3,2,
